dataset,Arsenal,DrCIF,HIVE-COTE 2.0,InceptionTime,MiniRocket,ResNet,STC,TDE,TS-CHIEF,MultiRocket,FAST
SonyAIBORobotSurface1,0.9579,0.9178,0.9522,0.9542,0.948,0.9604,0.8009,0.7101,0.8897,0.948,0.9559
SonyAIBORobotSurface2,0.9354,0.9287,0.9472,0.9513,0.9417,0.9689,0.937,0.9048,0.9011,0.949,0.9253
StarLightCurves,0.9813,0.9798,0.9817,0.9781,0.9812,0.972,0.9786,0.9777,0.9811,0.9812,0.9801
Strawberry,0.9795,0.9738,0.9789,0.9755,0.9798,0.9749,0.9717,0.9735,0.974,0.9789,0.9806
SwedishLeaf,0.9598,0.9604,0.9635,0.9698,0.9629,0.9586,0.934,0.9374,0.9619,0.9724,0.9682
Symbols,0.9676,0.9522,0.9715,0.9695,0.9668,0.9467,0.9014,0.967,0.9708,0.9732,0.9784
SyntheticControl,0.9973,0.994,0.9984,0.9958,0.9901,0.9944,0.9919,0.9871,0.999,0.995,0.9957
ToeSegmentation1,0.9306,0.9015,0.9554,0.9532,0.9411,0.9542,0.9534,0.9591,0.9598,0.9279,0.9377
ToeSegmentation2,0.9315,0.8974,0.9603,0.9636,0.94,0.9531,0.9451,0.9738,0.9626,0.9359,0.9116
Trace,1,1,1,1,1,1,1,1,1,1,1
TwoLeadECG,0.9985,0.985,0.999,0.9948,0.9972,0.9994,0.9991,0.998,0.9901,0.9976,0.9984
TwoPatterns,1,0.9997,1,1,0.9953,0.9998,0.9903,0.9974,1,1,1
UMD,0.9815,0.9157,0.9859,0.9799,0.9903,0.9525,0.9368,0.9183,0.9833,0.9824,0.9806
UWaveGestureLibraryAll,0.9752,0.9719,0.9749,0.9512,0.9749,0.869,0.958,0.9541,0.9707,0.9843,0.9825
UWaveGestureLibraryX,0.8565,0.845,0.8603,0.8336,0.856,0.7904,0.8202,0.827,0.8468,0.8751,0.8588
UWaveGestureLibraryY,0.7832,0.775,0.7895,0.7706,0.7834,0.6759,0.7449,0.7646,0.788,0.8077,0.7863
UWaveGestureLibraryZ,0.7958,0.7888,0.8033,0.7732,0.8003,0.7514,0.7725,0.7837,0.7912,0.8165,0.8066
Wafer,0.9986,0.9996,1,0.9986,0.999,0.9989,1,0.9998,0.9989,0.9997,0.9995
Wine,0.9228,0.8741,0.9247,0.8864,0.9278,0.8562,0.8858,0.8889,0.8981,0.9204,0.9426
WordSynonyms,0.7588,0.6952,0.7662,0.7518,0.7676,0.6133,0.623,0.7555,0.7937,0.7862,0.7749
Worms,0.7147,0.7485,0.758,0.7797,0.7294,0.7589,0.7333,0.742,0.7684,0.7299,0.774
WormsTwoClass,0.7745,0.8035,0.8052,0.8035,0.7926,0.768,0.7853,0.8152,0.7861,0.7965,0.7779
Yoga,0.9123,0.8898,0.93,0.9123,0.9187,0.8772,0.88,0.9286,0.8726,0.9319,0.9059
